City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Lorengau,PG,81.23,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
197,Pachino,IT,80.92,clear sky,36.7186,15.0907,Il Veliero
198,Nova Venecia,BR,72.84,overcast clouds,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
202,Nouadhibou,MR,80.58,scattered clouds,20.931,-17.0347,El Medina
203,Puerto Del Rosario,ES,85.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
204,Guaymas,MX,96.89,scattered clouds,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
206,Bubaque,GW,79.97,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
208,Urucara,BR,84.07,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
210,Fort Nelson,CA,83.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
212,Afua,BR,77.52,overcast clouds,-0.1567,-50.3867,Hotel Dias
214,Saint Anthony,US,76.24,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
217,Madang,PG,77.05,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
219,Miajadas,ES,81.79,clear sky,39.1513,-5.9084,Hotel Triana
220,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
221,Ternate,ID,79.83,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
223,Bam,IR,83.39,light rain,29.106,58.357,Bam Tourist Hotel
224,Lompoc,US,84.34,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
225,Villa Park,US,83.01,broken clouds,41.8898,-87.989,Courtyard by Marriott Chicago Elmhurst/Oakbrook Area
226,Pokhara,NP,71.47,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
228,Saint George,US,94.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
229,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
230,Keti Bandar,PK,81.79,overcast clouds,24.1447,67.4497,Haji laloo memon house
233,Rantauprapat,ID,72.34,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
234,Cascais,PT,70.93,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
236,Matam,SN,89.6,clear sky,15.6175,-13.3303,Auberge Beelel Jeeri
244,Sibu,MY,75.51,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
247,Dire Dawa,ET,74.79,light rain,9.5931,41.8661,Samrat Hotel
248,Qeshm,IR,84.09,moderate rain,26.9581,56.2719,Qeshm Kavan Hotel
251,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
256,Awbari,LY,84.92,clear sky,26.5921,12.7805,فندق أوباري
